id_certif,titre,etat,niveau,nsf_code,nsf_name,formacode,formaname
RS5487,Gérer un projet en mobilisant les méthodes agiles,Active,,"['\n                310p : \n              ', '\n                315p : \n              ', '\n                300 : \n              ']","['\n              ', '\n              Spécialités plurivalentes des échanges et de la gestion (organisation , gestion)\n            ', '\n              ', '\n              Spécialités plurivalentes des échanges et de la gestion (organisation, gestion)\n            ', '\n              ', '\n              Spécialites plurivalentes des services\n            ']",['\n                31024 : \n              '],"['\n              ', '\n              Méthode agile\n            ']"
RS5234,Exploiter les méthodes et outils DevOps dans l’administration des infrastructures,Active,,['\n                326 : \n              '],"['\n              ', ""\n              Informatique, traitement de l'information, réseaux de transmission\n            ""]",['\n                31054 : \n              '],"['\n              ', ""\n              Informatique et systèmes d'information\n            ""]"
RS5021,Analyser les incidents de sécurité détectés,Active,,['\n                326 : \n              '],"['\n              ', ""\n              Informatique, traitement de l'information, réseaux de transmission\n            ""]",['\n                31090 : \n              '],"['\n              ', '\n              Programmation web\n            ']"
RNCP37680,TP - Administrateur d'infrastructures sécurisées,Active,"
                Niveau 6
              ",['\n                326 : \n              '],"['\n              ', ""\n              Informatique, traitement de l'information, réseaux de transmission\n            ""]","['\n                31015 : \n              ', '\n                31006 : \n              ', '\n                24273 : \n              ', '\n                31008 : \n              ', '\n                31034 : \n              ']","['\n              ', '\n              Virtualisation\n            ', '\n              ', '\n              Sécurité informatique\n            ', '\n              ', '\n              Architecture réseau\n            ', '\n              ', '\n              Système information\n            ', '\n              ', '\n              Administration système\n            ']"
RS5020, Surveiller un système d’information sur des critères de sécurité informatique,Active,,['\n                326 : \n              '],"['\n              ', ""\n              Informatique, traitement de l'information, réseaux de transmission\n            ""]","['\n                31090 : \n              ', '\n                31006 : \n              ']","['\n              ', '\n              Programmation web\n            ', '\n              ', '\n              Sécurité informatique\n            ']"
RNCP37681,TP - Technicien d'assistance en informatique,Active,"
                Niveau 4
              ",['\n                326r : \n              '],"['\n              ', '\n              Assistance informatique, maintenance de logiciels et réseaux\n            ']","['\n                31081 : \n              ', '\n                31080 : \n              ', '\n                24231 : \n              ', '\n                31051 : \n              ', '\n                31016 : \n              ']","['\n              ', '\n              Gestion parc informatique\n            ', '\n              ', '\n              Matériel informatique\n            ', '\n              ', '\n              Réseau informatique\n            ', '\n              ', '\n              Maintenance assistance informatique\n            ', '\n              ', '\n              Architecture mobile\n            ']"
RNCP37682,TP - Technicien supérieur systèmes et réseaux,Active,"
                Niveau 5
              ","['\n                326p : \n              ', '\n                326r : \n              ', '\n                326u : \n              ']","['\n              ', ""\n              Informatique, traitement de l'information (organisation, gestion)\n            "", '\n              ', '\n              Assistance informatique, maintenance de logiciels et réseaux\n            ', '\n              ', '\n              Exploitation informatique\n            ']","['\n                24231 : \n              ', '\n                31008 : \n              ']","['\n              ', '\n              Réseau informatique\n            ', '\n              ', '\n              Système information\n            ']"
RNCP225,TP - Technicien d’assistance en informatique,,"
                Niveau 4
              ",['\n                326r : \n              '],"['\n              ', '\n              Assistance informatique, maintenance de logiciels et réseaux\n            ']",['\n                31051 : \n              '],"['\n              ', '\n              Maintenance assistance informatique\n            ']"
RNCP37873,TP - Concepteur développeur d'applications,Active,"
                Niveau 6
              ",['\n                326t : \n              '],"['\n              ', '\n              Programmation, mise en place de logiciels\n            ']","['\n                31067 : \n              ', '\n                31036 : \n              ', '\n                31010 : \n              ', '\n                31084 : \n              ', '\n                31006 : \n              ']","['\n              ', '\n              Analyse programmation\n            ', '\n              ', '\n              Administration base de données\n            ', '\n              ', '\n              Architecture web\n            ', '\n              ', '\n              Informatique de gestion\n            ', '\n              ', '\n              Sécurité informatique\n            ']"
