filiere,titre_formation,id_formation,id_certif
Infrastructures et cybersécurité,Acculturation Cyber : guide pour la résilience des PME/TPE,https://simplon.co/formation/acculturation-cyber-guide-pour-la-resilience-des-pme/1506,[]
Infrastructures et cybersécurité,Administrateur-trice d’infrastructures sécurisées,https://simplon.co/formation/administrateur-trice-d-infrastructures-securisees/477,"['https://www.francecompetences.fr/recherche/rncp/37680/', 'https://www.francecompetences.fr/recherche/rs/5487/']"
Infrastructures et cybersécurité,Administrateur-trice d’infrastructures sécurisées DevOps,https://simplon.co/formation/administrateur-trice-d-infrastructures-securisees-devops/1250,"['https://www.francecompetences.fr/recherche/rncp/37680/', 'http://www.francecompetences.fr/recherche/rs/5234/', 'https://www.francecompetences.fr/recherche/rs/5234/']"
Infrastructures et cybersécurité,Devenez ambassadeur de la cybersécurité pour votre PME/TPE !,https://simplon.co/formation/devenez-ambassadeur-de-la-cybersecurite-pour-votre-pme-tpe/1513,[]
Infrastructures et cybersécurité,Opérateur-trice de solutions de sécurité Cloud et Hybride,https://simplon.co/formation/operateur-trice-de-solutions-de-securite-cloud-et-hybride/986,"['https://www.francecompetences.fr/recherche/rncp/37680/', 'https://www.francecompetences.fr/recherche/rs/5487/']"
Infrastructures et cybersécurité,Analyse cybersécurité - spécialisation,https://simplon.co/formation/analyse-cybersecurite-specialisation/463,"['https://www.francecompetences.fr/recherche/rs/5021/', 'https://www.francecompetences.fr/recherche/rs/5020/']"
Infrastructures et cybersécurité,SAS de pré-qualif aux métiers du numérique - filière Infrastructures,https://simplon.co/formation/sas-de-pre-qualif-aux-metiers-du-numerique-filiere-infrastructures/811,[]
Infrastructures et cybersécurité,SAS de pré-qualification aux métiers du numérique - filière cybersécurité,https://simplon.co/formation/sas-de-pre-qualification-aux-metiers-du-numerique-filiere-cybersecurite/905,[]
Infrastructures et cybersécurité,Technicien support spécialisation studio jeux vidéo,https://simplon.co/formation/technicien-support-specialisation-studio-jeux-video/1567,['https://www.francecompetences.fr/recherche/rncp/37681/']
Infrastructures et cybersécurité,Technicien- supérieur-e systèmes et réseaux - Spécialisation analyse cybersécurité,https://simplon.co/formation/cyber-securite-systemes-et-reseaux/15,"['https://www.francecompetences.fr/recherche/rncp/37682/', 'https://www.francecompetences.fr/recherche/rs/5021/', 'https://www.francecompetences.fr/recherche/rs/5020/']"
Infrastructures et cybersécurité,Technicien-ne Support de Proximité,https://simplon.co/formation/technicien-ne-support-de-proximite/1425,[]
Infrastructures et cybersécurité,Technicien-ne d’assistance en informatique,https://simplon.co/formation/technicien-d-assistance-en-informatique/8,['https://www.francecompetences.fr/recherche/rncp/37681/']
Infrastructures et cybersécurité,Technicien-ne helpdesk,https://simplon.co/formation/technicien-ne-helpdesk/489,"['https://www.francecompetences.fr/recherche/rncp/225/', 'https://www.francecompetences.fr/recherche/rs/5487/']"
Infrastructures et cybersécurité,Technicien-ne supérieur-e systèmes et réseaux,https://simplon.co/formation/technicien-superieur-systemes-et-reseaux/7,['https://www.francecompetences.fr/recherche/rncp/37682/']
Infrastructures et cybersécurité,Technicien-ne supérieur-e systèmes et réseaux - Spécialité surveillance de sécurité,https://simplon.co/formation/technicien-ne-superieur-e-systemes-et-reseaux-specialite-surveillance-de-securite/1253,"['https://www.francecompetences.fr/recherche/rncp/37682/', 'https://www.francecompetences.fr/recherche/rs/5020/']"
Développement d'applications,Advanced Apple Foundation Program - Concepteur-rice développeur-euse d'apps,https://simplon.co/formation/advanced-apple-foundation-program-concepteur-rice-developpeur-euse-d-applications-ios-swift/865,['https://www.francecompetences.fr/recherche/rncp/37873/']
Certification,Certification gérer un projet en mobilisant les méthodes agiles,https://simplon.co/formation/certification-gerer-un-projet-en-mobilisant-les-methodes-agiles/585/,['https://www.francecompetences.fr/recherche/rs/5487/']
Certification,Certification - Surveiller un système d'information sur des critères de sécurité informatique,https://simplon.co/formation/surveiller-un-syste-me-d-information-sur-des-crite-res-de-se-curite-informatique/62,['https://www.francecompetences.fr/recherche/rs/5020/']
Certification,Certification - Analyser les incidents de sécurité détectés,https://simplon.co/formation/certification-analyser-les-incidents-de-securite-detectes/61,['https://www.francecompetences.fr/recherche/rs/5021/']
Certification,Certification Titre professionnel de niveau 6 - Administrateur d'infrastructures sécurisées,https://simplon.co/formation/certification-titre-professionnel-de-niveau-6-administrateur-d-infrastructures-securisees/478,['https://www.francecompetences.fr/recherche/rncp/37680/']
Certification,Titre professionnel de niveau 5 - Technicien-ne supérieur-e systèmes et réseaux,https://simplon.co/formation/titre-professionnel-de-niveau-5-technicien-ne-superieur-e-systemes-et-reseaux/80/,['https://www.francecompetences.fr/recherche/rncp/37682/']
Certification,Certification - Titre professionnel de niveau IV - Technicien-ne d’assistance en informatique,https://simplon.co/formation/titre-professionnel-de-niveau-iv-rncp-225-technicien-ne-d-assistance-en-informatique/81/,['https://www.certificationprofessionnelle.fr/recherche/rncp/225']
